#{"t_start": 1743946548.791229, "env_id": "None"}
r,l,t
6.7,16,15.700834
8.0,21,15.715383
8.0,12,15.724023
7.5,17,15.739089
8.4,17,15.751291
7.8,14,15.760955
8.4,17,15.772535
7.3,10,15.780442
8.9,12,15.789068
6.7,16,15.800194
8.4,8,15.805856
8.1,11,15.81349
8.7,14,15.823327
6.0,14,15.833273
6.0,14,15.842968
7.1,12,15.8512
8.4,17,15.862911
8.5,16,15.874199
7.0,13,15.883344
8.5,16,15.89438
7.3,10,15.902529
7.8,23,15.91843
8.7,14,15.928233
7.3,10,15.93512
8.6,15,15.948954
7.0,13,15.958204
8.1,11,15.966058
6.4,19,15.979119
9.1,10,15.986127
8.2,10,15.993011
5.5,19,16.006057
7.3,10,16.013074
8.1,11,16.020807
6.7,16,16.03199
8.2,10,16.038924
9.1,10,16.045793
7.5,8,16.051378
8.2,10,16.058282
7.3,10,16.065159
8.8,13,16.074135
7.1,21,16.088813
7.0,13,16.097801
8.7,14,16.107383
8.3,18,16.119789
7.8,14,16.129575
6.4,10,16.136497
9.2,9,16.142739
9.2,9,16.150194
8.0,12,16.161787
7.4,9,16.168045
6.8,15,16.178644
6.4,19,16.191754
9.3,8,16.197303
8.2,10,16.20417
8.4,17,16.216082
8.7,14,16.226011
8.3,9,16.232206
7.3,10,16.239716
9.0,11,16.248854
7.5,26,16.267247
6.2,12,16.275766
9.3,8,16.281317
8.3,9,16.287518
6.8,15,16.297917
7.5,17,16.309525
6.4,10,16.316421
9.2,9,16.322797
7.9,13,16.331865
7.9,22,16.350888
7.0,31,16.372192
5.8,16,16.383247
6.2,12,16.391583
8.6,15,16.402047
7.8,23,16.418298
9.2,9,16.426002
6.9,14,16.440628
7.9,13,16.453586
7.8,14,16.463681
7.4,9,16.470081
5.8,16,16.481466
8.8,13,16.490439
8.1,20,16.504201
7.1,12,16.512492
8.0,12,16.520856
7.9,13,16.529896
6.4,19,16.542962
8.4,8,16.548516
8.2,10,16.555438
6.5,18,16.568011
8.8,13,16.577091
6.4,19,16.590397
7.7,15,16.601367
9.0,11,16.609165
8.6,15,16.619798
8.0,12,16.628415
7.9,13,16.63776
7.1,12,16.646319
9.0,11,16.656749
7.1,12,16.668039
5.3,21,16.683351
6.3,11,16.691375
8.0,12,16.699894
7.3,10,16.70694
7.5,17,16.719054
8.0,12,16.728018
8.1,11,16.735791
4.6,19,16.749282
6.1,13,16.758591
8.8,13,16.767774
7.0,13,16.777954
7.2,11,16.786031
8.2,10,16.793356
5.1,14,16.803115
7.5,8,16.808763
5.8,16,16.820184
8.1,20,16.834307
4.4,21,16.855112
6.1,13,18.005176
8.4,8,18.01082
9.1,10,18.017934
8.7,14,18.027873
5.8,16,18.039188
8.7,14,18.048957
9.3,8,18.054548
8.8,13,18.063556
6.6,17,18.07563
8.2,10,18.082831
9.1,10,18.090001
6.0,14,18.099873
6.7,16,18.110932
7.0,13,18.120087
7.5,8,18.125664
9.0,11,18.133446
9.3,8,18.139077
9.1,10,18.146096
8.3,9,18.154513
9.2,9,18.161437
8.3,9,18.167769
7.7,15,18.17819
7.7,15,18.18854
8.2,10,18.195582
7.9,13,18.204723
9.0,11,18.212409
8.2,10,18.219595
8.1,11,18.227351
8.4,8,18.232993
9.0,11,18.240615
8.3,9,18.246933
8.4,8,18.254228
9.2,9,18.260942
6.5,18,18.273531
6.9,14,18.283688
6.8,15,18.294083
8.5,16,18.305166
7.1,12,18.313502
8.0,12,18.321872
7.1,12,18.330432
9.1,10,18.337626
6.8,15,18.348263
9.0,11,18.356022
7.9,13,18.365083
8.4,8,18.370938
9.0,11,18.378959
7.4,18,18.391661
7.7,15,18.402066
8.8,13,18.411129
7.5,17,18.422917
7.4,9,18.429326
7.8,14,18.439106
8.3,9,18.445407
8.3,9,18.451746
7.7,15,18.462631
9.2,9,18.47427
9.0,11,18.482718
7.5,8,18.49115
8.2,10,18.501812
7.2,11,18.513001
6.8,15,18.523969
8.6,15,18.5349
8.4,8,18.541914
6.7,16,18.553424
9.1,10,18.561309
9.1,10,18.569049
8.0,12,18.577549
4.7,18,18.590486
6.4,10,18.597826
8.8,13,18.607081
7.9,13,18.616204
8.2,10,18.62325
8.8,13,18.633986
7.4,18,18.650093
8.1,11,18.658135
9.0,11,18.666193
4.9,16,18.678275
8.6,15,18.689398
9.0,11,18.699067
7.5,8,18.706341
8.9,12,18.71689
3.8,18,18.730162
6.1,13,18.739615
7.4,9,18.746883
7.1,21,18.76198
8.8,13,18.771319
5.2,13,18.781532
6.1,13,18.791116
8.1,11,18.799161
8.4,8,18.805087
9.0,11,18.81302
8.1,11,18.820949
7.5,17,18.833274
7.0,13,18.843055
8.9,12,18.851708
6.0,14,18.861641
8.3,9,18.868224
5.1,14,18.87858
6.6,17,18.890698
9.2,9,18.897216
8.0,12,18.905888
7.7,15,18.917952
8.6,15,18.928643
6.6,17,18.940932
8.2,10,18.948071
8.3,9,18.954511
7.5,8,18.960838
8.9,12,18.972896
8.2,10,18.981112
8.9,12,18.989782
9.2,9,18.996249
9.3,8,19.002024
8.4,8,19.007836
8.5,16,19.019214
8.8,13,19.028686
6.3,20,19.043073
6.8,15,19.053825
6.4,10,19.060948
7.1,12,19.069403
8.2,10,19.082075
7.4,9,19.091873
7.9,13,19.101872
8.8,13,19.111175
8.2,10,19.118607
9.3,8,19.124469
9.2,9,19.131092
6.0,14,19.141097
8.7,14,19.151117
9.1,10,19.158453
8.3,9,19.164856
6.7,16,19.176506
8.2,10,19.183878
8.3,9,19.190353
7.6,16,19.201702
8.2,10,19.208889
8.6,15,19.219902
8.2,19,19.233626
9.0,11,19.241501
7.3,19,19.255953
7.2,11,19.268026
9.0,11,19.276192
7.0,13,19.285604
9.1,10,19.292747
6.8,15,19.303613
4.8,17,19.31588
7.0,13,19.325163
8.3,9,19.331794
8.4,8,19.337553
8.3,9,19.344149
9.2,9,19.350667
7.9,13,19.359963
8.4,8,19.365768
9.1,10,19.372887
8.2,10,19.380004
8.4,8,19.385814
9.3,8,19.391479
8.5,16,19.40282
8.0,12,19.411454
8.4,8,19.417244
8.3,9,19.423665
6.2,12,19.432403
7.0,13,19.444068
7.0,13,19.453534
8.0,12,19.462137
7.0,13,19.471722
8.3,9,19.478663
8.0,12,19.487279
6.0,14,19.497057
9.1,10,19.504104
8.5,16,19.517219
7.9,13,20.677038
9.3,8,20.683265
8.0,12,20.692295
8.7,14,20.704607
8.9,12,20.714669
8.4,8,20.72053
8.0,12,20.729357
8.9,12,20.737886
8.3,9,20.744385
7.4,9,20.750812
8.3,9,20.757384
9.3,8,20.763025
8.9,12,20.771675
9.0,11,20.780241
8.5,16,20.792417
8.2,19,20.806014
8.3,9,20.812508
8.1,11,20.820849
8.3,9,20.827321
8.4,8,20.833051
9.1,10,20.84045
8.4,8,20.847988
8.4,8,20.853818
8.3,9,20.860374
4.0,16,20.871951
9.0,11,20.8801
