#{"t_start": 1743946548.791229, "env_id": "None"}
r,l,t
9.0,11,30.324407
9.2,9,30.330665
9.1,10,30.33881
8.4,8,30.345369
8.1,11,30.353287
9.1,10,30.360514
9.3,8,30.36608
8.2,10,30.37304
9.3,8,30.378908
9.2,9,30.385223
9.3,8,30.391022
8.7,14,30.4008
9.2,9,30.407102
8.3,9,30.413359
9.0,11,30.421403
9.2,9,30.428239
9.2,9,30.434912
8.4,8,30.44076
8.9,12,30.449346
9.2,9,30.455847
9.1,10,30.463091
8.2,10,30.470665
9.1,10,30.47795
8.4,8,30.484175
9.3,8,30.489974
8.3,9,30.496527
9.3,8,30.502794
9.0,11,30.510729
8.3,9,30.517354
9.2,9,30.523745
8.4,8,30.529481
9.2,9,30.535853
8.2,10,30.543039
9.3,8,30.54875
9.1,10,30.555774
9.1,10,30.563045
8.4,8,30.568768
8.4,8,30.574644
9.2,9,30.58118
8.4,8,30.586803
9.1,10,30.593933
8.4,8,30.599796
9.2,9,30.606145
9.1,10,30.613113
9.3,8,30.618725
8.9,12,30.627032
8.2,10,30.634073
9.1,10,30.641362
9.2,9,30.64769
9.3,8,30.653242
9.3,8,30.65925
9.3,8,30.665032
8.4,8,30.670758
9.1,10,30.678336
9.3,8,30.684224
9.3,8,30.690355
9.3,8,30.69799
9.3,8,30.70512
8.3,9,30.713006
8.3,9,30.719456
9.2,9,30.725763
8.3,9,30.73209
8.8,13,30.741158
9.2,9,30.747393
8.3,9,30.753731
9.2,9,30.760171
9.2,9,30.766737
8.3,9,30.773055
9.1,10,30.780874
9.2,9,30.787327
9.1,10,30.794323
9.1,10,30.801278
9.3,8,30.806967
8.3,9,30.813245
8.4,8,30.818962
8.2,10,30.825994
9.2,9,30.8323
9.3,8,30.837946
7.5,8,30.843489
7.1,12,30.851913
9.2,9,30.858132
9.3,8,30.863882
9.3,8,30.869598
9.3,8,30.875344
9.2,9,30.88163
8.1,11,30.889376
9.3,8,30.894915
9.3,8,30.900883
8.1,11,30.908441
8.9,12,30.916755
9.3,8,30.922259
9.3,8,30.927787
9.3,8,30.933355
8.2,10,30.940243
8.2,10,30.948501
9.3,8,30.95706
8.3,9,30.966691
9.3,8,30.976048
8.4,8,30.982382
9.3,8,30.988032
9.3,8,30.993618
8.2,10,31.000632
8.9,12,31.008991
9.3,8,31.014818
9.0,11,31.022601
9.3,8,31.028171
9.2,9,31.034383
9.3,8,31.040004
9.0,11,31.047609
9.3,8,31.053135
9.3,8,31.058714
9.1,10,31.065891
9.1,10,31.072838
8.4,8,31.078462
9.2,9,31.084821
9.3,8,31.090726
8.4,8,31.096563
9.1,10,31.103694
8.4,8,31.109208
8.4,8,31.114803
9.1,10,31.121755
9.2,9,31.128178
9.3,8,31.133767
9.3,8,31.139558
8.0,12,31.147949
8.9,12,31.156233
9.2,9,31.162786
8.9,12,31.171041
9.1,10,31.178037
7.1,12,31.186289
9.2,9,31.192663
8.4,8,31.198444
8.3,9,31.204724
