Wall time,Step,Value
1743608774.815559,400,9.999999747378752e-05
1743608775.669469,800,9.999999747378752e-05
1743608776.5493524,1200,9.999999747378752e-05
1743608777.3315969,1600,9.999999747378752e-05
1743608778.2238812,2000,9.999999747378752e-05
1743608779.041209,2400,9.999999747378752e-05
1743608779.8358195,2800,9.999999747378752e-05
1743608780.6325233,3200,9.999999747378752e-05
1743608781.5200036,3600,9.999999747378752e-05
1743608782.2988782,4000,9.999999747378752e-05
1743608783.0717597,4400,9.999999747378752e-05
1743608784.1581414,4800,9.999999747378752e-05
1743608785.1538172,5000,9.999999747378752e-05
1743608785.7715106,5200,9.999999747378752e-05
1743608786.8178294,5600,9.999999747378752e-05
1743608787.6753955,6000,9.999999747378752e-05
1743608788.5923877,6400,9.999999747378752e-05
1743608789.4179919,6800,9.999999747378752e-05
1743608790.2402556,7200,9.999999747378752e-05
1743608791.3299904,7600,9.999999747378752e-05
1743608792.3468306,8000,9.999999747378752e-05
1743608793.399754,8400,9.999999747378752e-05
1743608794.5507326,8800,9.999999747378752e-05
1743608795.438338,9200,9.999999747378752e-05
1743608796.4611998,9600,9.999999747378752e-05
1743608797.7530816,10000,9.999999747378752e-05
1743608798.7148674,10400,9.999999747378752e-05
1743608799.638219,10800,9.999999747378752e-05
1743608800.6649861,11200,9.999999747378752e-05
1743608801.5413435,11600,9.999999747378752e-05
1743608802.4483662,12000,9.999999747378752e-05
1743608803.381873,12400,9.999999747378752e-05
1743608804.9365478,12800,9.999999747378752e-05
1743608806.3744433,13200,9.999999747378752e-05
1743608807.6433458,13600,9.999999747378752e-05
1743608808.6587896,14000,9.999999747378752e-05
1743608809.6008615,14400,9.999999747378752e-05
1743608810.4691484,14800,9.999999747378752e-05
1743608811.3694203,15000,9.999999747378752e-05
1743608811.8219109,15200,9.999999747378752e-05
1743608812.653974,15600,9.999999747378752e-05
1743608813.5526464,16000,9.999999747378752e-05
1743608814.388669,16400,9.999999747378752e-05
1743608815.2615185,16800,9.999999747378752e-05
1743608816.141732,17200,9.999999747378752e-05
1743608816.9723833,17600,9.999999747378752e-05
1743608817.7809732,18000,9.999999747378752e-05
1743608818.6490233,18400,9.999999747378752e-05
1743608819.5285304,18800,9.999999747378752e-05
1743608820.4388573,19200,9.999999747378752e-05
1743608821.3313892,19600,9.999999747378752e-05
1743608822.6911988,20000,9.999999747378752e-05
1743608823.6106145,20400,9.999999747378752e-05
1743608824.464681,20800,9.999999747378752e-05
1743608825.3466082,21200,9.999999747378752e-05
1743608826.2719154,21600,9.999999747378752e-05
1743608827.2234647,22000,9.999999747378752e-05
1743608828.0850036,22400,9.999999747378752e-05
1743608829.0264256,22800,9.999999747378752e-05
1743608830.0844219,23200,9.999999747378752e-05
1743608831.20521,23600,9.999999747378752e-05
1743608832.3102849,24000,9.999999747378752e-05
1743608833.3434308,24400,9.999999747378752e-05
1743608834.2557154,24800,9.999999747378752e-05
1743608835.0824432,25000,9.999999747378752e-05
1743608835.5956252,25200,9.999999747378752e-05
1743608836.776911,25600,9.999999747378752e-05
1743608837.7663403,26000,9.999999747378752e-05
1743608838.762292,26400,9.999999747378752e-05
1743608839.9095445,26800,9.999999747378752e-05
1743608841.256886,27200,9.999999747378752e-05
1743608842.4685273,27600,9.999999747378752e-05
1743608843.6591523,28000,9.999999747378752e-05
1743608844.6998005,28400,9.999999747378752e-05
1743608845.8308764,28800,9.999999747378752e-05
1743608846.7815652,29200,9.999999747378752e-05
1743608847.731864,29600,9.999999747378752e-05
1743608849.2045925,30000,9.999999747378752e-05
1743608850.2795448,30400,9.999999747378752e-05
1743608851.4008698,30800,9.999999747378752e-05
1743608852.4098914,31200,9.999999747378752e-05
1743608853.6706321,31600,9.999999747378752e-05
1743608854.9061918,32000,9.999999747378752e-05
1743608856.02745,32400,9.999999747378752e-05
1743608857.1238415,32800,9.999999747378752e-05
1743608858.1842499,33200,9.999999747378752e-05
1743608859.254564,33600,9.999999747378752e-05
1743608860.3311293,34000,9.999999747378752e-05
1743608861.5393038,34400,9.999999747378752e-05
1743608862.7747009,34800,9.999999747378752e-05
1743608863.6354043,35000,9.999999747378752e-05
1743608864.1856833,35200,9.999999747378752e-05
1743608865.310365,35600,9.999999747378752e-05
1743608866.2175562,36000,9.999999747378752e-05
1743608867.1295981,36400,9.999999747378752e-05
1743608868.1572375,36800,9.999999747378752e-05
1743608869.2539144,37200,9.999999747378752e-05
1743608870.2382426,37600,9.999999747378752e-05
1743608871.2945552,38000,9.999999747378752e-05
1743608872.8529437,38400,9.999999747378752e-05
1743608874.228701,38800,9.999999747378752e-05
1743608875.4602757,39200,9.999999747378752e-05
1743608876.8032436,39600,9.999999747378752e-05
1743608878.2948906,40000,9.999999747378752e-05
1743608879.5450006,40400,9.999999747378752e-05
1743608880.9196362,40800,9.999999747378752e-05
1743608882.322849,41200,9.999999747378752e-05
1743608883.6774943,41600,9.999999747378752e-05
1743608884.816254,42000,9.999999747378752e-05
1743608885.7946954,42400,9.999999747378752e-05
1743608887.0406313,42800,9.999999747378752e-05
1743608888.0617487,43200,9.999999747378752e-05
1743608889.182939,43600,9.999999747378752e-05
1743608890.3723483,44000,9.999999747378752e-05
1743608891.3377397,44400,9.999999747378752e-05
1743608892.3452508,44800,9.999999747378752e-05
1743608893.2066846,45000,9.999999747378752e-05
1743608893.7766066,45200,9.999999747378752e-05
1743608894.8579354,45600,9.999999747378752e-05
1743608895.7804797,46000,9.999999747378752e-05
1743608896.9197643,46400,9.999999747378752e-05
1743608898.0449426,46800,9.999999747378752e-05
1743608899.029243,47200,9.999999747378752e-05
1743608900.0114605,47600,9.999999747378752e-05
1743608901.0744991,48000,9.999999747378752e-05
1743608902.007803,48400,9.999999747378752e-05
1743608903.026961,48800,9.999999747378752e-05
1743608904.1561778,49200,9.999999747378752e-05
1743608905.2762525,49600,9.999999747378752e-05
1743608906.7469058,50000,9.999999747378752e-05
1743608908.465399,50400,9.999999747378752e-05
1743608909.7357337,50800,9.999999747378752e-05
1743608910.7879808,51200,9.999999747378752e-05
1743608911.72049,51600,9.999999747378752e-05
1743608912.796239,52000,9.999999747378752e-05
1743608913.932669,52400,9.999999747378752e-05
1743608915.1364183,52800,9.999999747378752e-05
1743608916.224225,53200,9.999999747378752e-05
1743608917.4790852,53600,9.999999747378752e-05
1743608918.6218207,54000,9.999999747378752e-05
1743608919.6471088,54400,9.999999747378752e-05
1743608920.5360863,54800,9.999999747378752e-05
1743608921.431461,55000,9.999999747378752e-05
1743608921.929576,55200,9.999999747378752e-05
1743608922.87508,55600,9.999999747378752e-05
1743608923.8637753,56000,9.999999747378752e-05
1743608924.7998605,56400,9.999999747378752e-05
1743608925.7832708,56800,9.999999747378752e-05
1743608926.891502,57200,9.999999747378752e-05
1743608927.8935318,57600,9.999999747378752e-05
1743608928.9041443,58000,9.999999747378752e-05
1743608929.8466668,58400,9.999999747378752e-05
1743608930.850916,58800,9.999999747378752e-05
1743608931.8490915,59200,9.999999747378752e-05
1743608932.8847861,59600,9.999999747378752e-05
1743608934.3157291,60000,9.999999747378752e-05
1743608935.4479816,60400,9.999999747378752e-05
1743608936.5212517,60800,9.999999747378752e-05
1743608937.5391834,61200,9.999999747378752e-05
1743608938.5461948,61600,9.999999747378752e-05
1743608939.5308816,62000,9.999999747378752e-05
1743608940.5742605,62400,9.999999747378752e-05
1743608941.6418715,62800,9.999999747378752e-05
1743608942.7510498,63200,9.999999747378752e-05
1743608943.8111167,63600,9.999999747378752e-05
1743608944.9063294,64000,9.999999747378752e-05
1743608945.936992,64400,9.999999747378752e-05
1743608946.9618669,64800,9.999999747378752e-05
1743608947.8835776,65000,9.999999747378752e-05
1743608948.3578134,65200,9.999999747378752e-05
1743608949.3758073,65600,9.999999747378752e-05
1743608950.412093,66000,9.999999747378752e-05
1743608951.5256073,66400,9.999999747378752e-05
1743608952.5980885,66800,9.999999747378752e-05
1743608953.658943,67200,9.999999747378752e-05
1743608954.784744,67600,9.999999747378752e-05
1743608955.7793927,68000,9.999999747378752e-05
1743608956.7481835,68400,9.999999747378752e-05
1743608957.731854,68800,9.999999747378752e-05
1743608958.8099122,69200,9.999999747378752e-05
1743608959.7739275,69600,9.999999747378752e-05
1743608961.123141,70000,9.999999747378752e-05
1743608962.1575916,70400,9.999999747378752e-05
1743608963.1559036,70800,9.999999747378752e-05
1743608964.3521929,71200,9.999999747378752e-05
1743608965.3182192,71600,9.999999747378752e-05
1743608966.2447464,72000,9.999999747378752e-05
1743608967.3046284,72400,9.999999747378752e-05
1743608968.2816062,72800,9.999999747378752e-05
1743608969.3412206,73200,9.999999747378752e-05
1743608970.8001695,73600,9.999999747378752e-05
1743608972.1069994,74000,9.999999747378752e-05
1743608973.2346833,74400,9.999999747378752e-05
1743608974.442136,74800,9.999999747378752e-05
1743608975.5876267,75000,9.999999747378752e-05
1743608976.268872,75200,9.999999747378752e-05
1743608977.509633,75600,9.999999747378752e-05
1743608978.7449996,76000,9.999999747378752e-05
1743608979.9082158,76400,9.999999747378752e-05
1743608981.0917833,76800,9.999999747378752e-05
1743608982.1230466,77200,9.999999747378752e-05
1743608983.5808785,77600,9.999999747378752e-05
1743608985.13956,78000,9.999999747378752e-05
1743608986.2902167,78400,9.999999747378752e-05
1743608987.35636,78800,9.999999747378752e-05
1743608988.3733096,79200,9.999999747378752e-05
1743608989.462801,79600,9.999999747378752e-05
1743608991.0136979,80000,9.999999747378752e-05
1743608992.2800791,80400,9.999999747378752e-05
1743608993.3476527,80800,9.999999747378752e-05
1743608994.501166,81200,9.999999747378752e-05
1743608995.6333828,81600,9.999999747378752e-05
1743608996.746224,82000,9.999999747378752e-05
1743608997.780599,82400,9.999999747378752e-05
1743608998.7974024,82800,9.999999747378752e-05
1743608999.901339,83200,9.999999747378752e-05
1743609001.0008833,83600,9.999999747378752e-05
1743609002.1437843,84000,9.999999747378752e-05
1743609003.16042,84400,9.999999747378752e-05
1743609004.1423159,84800,9.999999747378752e-05
1743609005.448111,85000,9.999999747378752e-05
1743609006.1806045,85200,9.999999747378752e-05
1743609009.4413204,85600,9.999999747378752e-05
1743609013.2689695,86000,9.999999747378752e-05
1743609015.8403356,86400,9.999999747378752e-05
1743609019.244264,86800,9.999999747378752e-05
1743609021.9404132,87200,9.999999747378752e-05
1743609025.1506283,87600,9.999999747378752e-05
1743609027.1822672,88000,9.999999747378752e-05
1743609029.2895427,88400,9.999999747378752e-05
1743609031.1957283,88800,9.999999747378752e-05
1743609032.9506214,89200,9.999999747378752e-05
1743609034.7516532,89600,9.999999747378752e-05
1743609037.27219,90000,9.999999747378752e-05
1743609039.408722,90400,9.999999747378752e-05
1743609041.474651,90800,9.999999747378752e-05
1743609043.449253,91200,9.999999747378752e-05
1743609045.4236538,91600,9.999999747378752e-05
1743609047.258794,92000,9.999999747378752e-05
1743609049.053909,92400,9.999999747378752e-05
1743609050.8775187,92800,9.999999747378752e-05
1743609052.9499803,93200,9.999999747378752e-05
1743609055.2837129,93600,9.999999747378752e-05
1743609057.96191,94000,9.999999747378752e-05
