Wall time,Step,Value
1743617790.639017,2048,-27.049999237060547
1743617793.0023406,4096,-27.649999618530273
1743617795.4195051,6144,-24.88524627685547
1743617797.9704456,8192,-24.407407760620117
1743617801.0254474,10240,-22.43000030517578
1743617804.0434735,12288,-20.1299991607666
1743617807.2994537,14336,-16.3700008392334
1743617810.6212137,16384,-15.210000038146973
1743617813.7216947,18432,-12.869999885559082
1743617817.3400054,20480,-11.609999656677246
1743617820.3551755,22528,-11.550000190734863
1743617823.390753,24576,-12.800000190734863
1743617826.3974018,26624,-13.109999656677246
1743617829.621201,28672,-13.220000267028809
1743617832.6913183,30720,-13.109999656677246
1743617835.6522808,32768,-12.010000228881836
1743617838.7107363,34816,-11.579999923706055
1743617841.7599742,36864,-11.010000228881836
1743617844.8828583,38912,-9.789999961853027
1743617848.2557318,40960,-10.100000381469727
1743617851.3385172,43008,-10.5600004196167
1743617854.3735821,45056,-10.34000015258789
1743617857.393202,47104,-9.90999984741211
1743617860.5086038,49152,-10.199999809265137
1743617863.5268743,51200,-9.760000228881836
1743617866.551923,53248,-9.350000381469727
1743617869.6355534,55296,-9.260000228881836
1743617872.793056,57344,-9.390000343322754
1743617875.8591063,59392,-9.470000267028809
1743617879.1441522,61440,-9.739999771118164
1743617882.3874378,63488,-9.6899995803833
1743617885.5535393,65536,-9.510000228881836
1743617888.5529568,67584,-9.779999732971191
1743617891.582399,69632,-9.770000457763672
1743617894.7023723,71680,-9.710000038146973
1743617897.7586458,73728,-9.59000015258789
1743617900.7981272,75776,-9.329999923706055
1743617903.9364343,77824,-9.350000381469727
1743617906.89786,79872,-9.149999618530273
1743617910.2078514,81920,-9.229999542236328
1743617913.2428582,83968,-8.960000038146973
1743617916.343056,86016,-9.170000076293945
1743617919.3586195,88064,-9.399999618530273
1743617922.4106686,90112,-9.59000015258789
1743617925.7335951,92160,-9.949999809265137
1743617930.176289,94208,-10.640000343322754
1743617933.5179229,96256,-10.6899995803833
1743617936.758911,98304,-10.5600004196167
1743617940.316528,100352,-10.319999694824219
1743617943.4981863,102400,-10.15999984741211
1743617947.3215303,104448,-10.140000343322754
1743617951.405927,106496,-11.819999694824219
1743617955.4593961,108544,-11.65999984741211
1743617959.5088146,110592,-12.550000190734863
1743617964.1277819,112640,-12.09000015258789
1743617968.8011425,114688,-11.729999542236328
1743617973.988466,116736,-10.430000305175781
1743617977.4332266,118784,-10.529999732971191
1743617980.8757584,120832,-9.880000114440918
1743617984.233537,122880,-10.359999656677246
1743617987.3145952,124928,-10.649999618530273
1743617990.428199,126976,-10.119999885559082
1743617993.6860473,129024,-9.859999656677246
1743617996.8225546,131072,-9.760000228881836
1743617999.9454813,133120,-9.600000381469727
1743618003.449839,135168,-9.600000381469727
1743618007.1088138,137216,-9.819999694824219
1743618010.1786492,139264,-9.979999542236328
1743618013.6528919,141312,-9.989999771118164
1743618016.8173497,143360,-10.40999984741211
1743618020.5502934,145408,-10.329999923706055
1743618025.1136146,147456,-10.109999656677246
1743618029.6517334,149504,-9.920000076293945
1743618033.4774048,151552,-9.979999542236328
1743618037.3932312,153600,-9.84000015258789
1743618040.5420647,155648,-9.880000114440918
1743618043.672115,157696,-10.069999694824219
1743618047.0207314,159744,-10.010000228881836
1743618050.553409,161792,-10.180000305175781
1743618053.7864826,163840,-10.5
1743618057.074064,165888,-10.880000114440918
1743618060.334257,167936,-10.899999618530273
1743618063.914802,169984,-10.770000457763672
1743618067.2806406,172032,-11.039999961853027
1743618070.529657,174080,-10.579999923706055
1743618073.6336744,176128,-10.079999923706055
1743618077.199284,178176,-10.1899995803833
1743618080.8310308,180224,-10.390000343322754
1743618083.9764524,182272,-10.15999984741211
1743618087.201595,184320,-9.979999542236328
1743618090.4600313,186368,-10.069999694824219
1743618093.6112423,188416,-10.079999923706055
1743618096.9041681,190464,-9.989999771118164
1743618100.1808312,192512,-9.489999771118164
1743618103.371284,194560,-9.8100004196167
1743618106.5692868,196608,-9.550000190734863
1743618109.6687956,198656,-9.510000228881836
1743618113.272424,200704,-9.539999961853027
1743618116.3918245,202752,-9.920000076293945
1743618119.4856906,204800,-10.119999885559082
1743618122.7644079,206848,-10.119999885559082
1743618125.8923457,208896,-10.050000190734863
1743618128.991448,210944,-10.319999694824219
1743618132.21358,212992,-10.069999694824219
1743618135.3282185,215040,-9.8100004196167
1743618138.5045996,217088,-9.739999771118164
1743618141.7786484,219136,-9.380000114440918
1743618145.353765,221184,-9.170000076293945
1743618148.5170496,223232,-9.359999656677246
1743618151.612017,225280,-9.220000267028809
1743618155.4571006,227328,-8.989999771118164
1743618159.4539242,229376,-8.90999984741211
1743618163.4734476,231424,-9.220000267028809
1743618167.4266436,233472,-9.020000457763672
