#{"t_start": 1743752298.8840184, "env_id": "None"}
r,l,t
8.4,8,42.662216
7.3,10,42.69464
8.2,10,42.720377
8.4,8,42.744018
7.1,12,42.778421
9.3,8,42.798824
9.3,8,42.817161
8.9,12,42.847729
9.3,8,42.871014
7.3,10,42.897818
8.4,8,42.920723
8.2,10,42.944036
8.4,8,42.9701
5.8,43,43.082469
8.7,14,43.116457
9.3,8,43.139774
9.3,8,43.161037
3.2,69,43.313107
7.1,12,43.337653
8.2,19,43.378995
8.4,8,43.400427
8.4,8,43.41772
9.1,10,43.439032
8.4,8,43.45646
8.4,8,43.479001
8.4,8,43.495955
8.2,10,43.521027
9.1,10,43.540194
9.2,9,43.560843
9.3,8,43.578389
9.2,9,43.603193
8.2,19,43.646064
9.3,8,43.674283
9.3,8,43.695894
9.3,8,43.716203
9.2,9,43.746062
5.8,43,43.843525
7.2,29,43.913286
9.3,8,43.931047
6.2,39,44.015507
8.4,8,44.037853
8.4,8,44.054835
6.5,36,44.13056
9.3,8,44.147961
8.4,8,44.167067
8.4,8,44.184271
8.4,8,44.202047
0.3,98,44.413083
8.4,8,44.434379
5.2,49,44.53723
6.4,37,44.61788
8.4,8,44.635691
7.3,10,44.662761
8.4,8,44.685444
9.3,8,44.709948
5.6,36,44.790198
8.4,8,44.811028
8.4,8,44.829259
9.2,9,44.847202
8.8,13,44.872391
4.6,46,44.980324
7.9,13,45.009346
8.4,8,45.027207
8.7,14,45.060294
7.4,27,45.115626
8.4,8,45.132983
9.3,8,45.150863
8.4,8,45.167696
9.3,8,45.190517
9.3,8,45.208131
9.3,8,45.225307
9.3,8,45.243787
9.2,9,45.272404
6.6,35,45.349265
8.4,8,45.367321
8.4,8,45.384835
8.4,8,45.411191
6.5,36,45.505907
9.3,8,45.522983
8.4,8,45.540659
8.4,8,45.562431
6.9,23,45.620569
8.3,9,45.639834
8.4,8,45.656676
8.4,8,45.67989
8.4,8,45.701952
9.3,8,45.732984
6.1,40,45.824918
7.3,10,45.853161
8.2,10,45.87205
8.5,16,45.905986
8.4,8,45.923738
9.3,8,45.947687
9.3,8,45.966405
9.3,8,45.984115
7.7,24,46.036757
8.4,8,46.05802
8.4,8,46.075473
8.4,8,46.093438
8.4,8,46.113916
8.4,8,46.137373
5.7,44,46.244898
9.3,8,46.263111
8.2,10,46.291131
8.2,19,46.339312
9.0,11,46.358402
9.3,8,46.37604
9.3,8,46.393798
9.3,8,46.414937
9.1,10,46.444982
8.2,10,46.464745
9.2,9,46.489571
9.3,8,46.509917
8.4,8,46.52734
8.4,8,46.545461
8.4,8,46.564023
8.4,8,46.585945
9.3,8,46.604994
9.3,8,46.623917
9.3,8,46.642069
9.0,11,46.664831
9.1,10,46.696371
9.1,10,46.718684
7.3,28,46.799072
1.5,77,46.980456
8.5,16,47.018833
9.3,8,47.038483
9.0,11,47.060169
9.3,8,47.085254
9.3,8,47.104852
9.3,8,47.125169
9.3,8,47.145107
6.4,37,47.245754
5.4,38,47.328698
9.3,8,47.346931
8.7,14,47.388577
9.3,8,47.41228
9.3,8,47.44299
9.3,8,47.464108
8.4,8,47.482543
8.4,8,47.505648
8.4,8,47.52341
8.4,8,47.541598
7.8,23,47.58878
7.6,16,47.627388
8.2,10,47.65388
8.4,8,47.671494
8.1,11,47.702285
5.7,44,47.814417
8.4,8,47.8326
8.4,8,47.850809
8.4,8,47.869017
6.6,35,47.947889
2.5,49,48.070062
9.3,8,48.087458
7.4,27,48.140997
9.3,8,48.162209
8.1,11,48.188712
8.7,14,48.223345
9.3,8,48.240665
8.2,19,48.280319
9.3,8,48.299734
9.3,8,48.318557
8.4,8,48.336423
8.7,14,48.373971
8.4,8,48.391909
9.3,8,48.409131
7.2,29,48.473902
5.2,49,48.580852
8.4,8,48.598327
9.3,8,48.615377
8.2,10,48.640697
8.4,8,48.662854
6.3,38,48.754128
9.2,9,48.784028
8.4,8,48.803548
8.2,10,48.838306
8.4,8,48.865135
8.4,8,48.887282
8.4,8,48.907386
-0.9,110,49.172255
9.3,8,49.1902
9.3,8,49.211167
9.3,8,49.230047
8.1,11,49.254387
8.4,8,49.273808
8.4,8,49.293131
9.3,8,49.310744
9.3,8,49.333239
9.3,8,49.351058
8.4,8,49.369689
9.3,8,49.388925
7.7,24,49.448964
9.1,10,49.474446
9.2,9,49.492053
3.1,70,49.662055
8.4,8,49.687741
8.4,8,49.708015
8.4,8,49.725228
9.1,10,49.744085
9.2,9,49.76616
8.1,20,49.80973
9.3,8,49.830823
9.2,9,49.860425
8.2,10,49.887493
8.4,8,49.907836
8.4,8,49.925024
8.4,8,49.943452
8.4,8,49.964313
8.4,8,49.981758
8.4,8,50.00017
8.4,8,50.017596
7.5,8,50.039357
8.4,8,50.057906
8.4,8,50.078689
8.4,8,50.096391
9.3,8,50.120692
9.3,8,50.138308
9.3,8,50.156963
9.3,8,50.174747
9.3,8,50.198415
7.3,19,50.243961
7.6,16,50.280231
7.4,27,50.341498
8.9,12,50.372246
7.4,27,50.425856
9.3,8,50.446457
9.3,8,50.468065
8.4,8,50.492433
9.3,8,50.511256
9.2,9,50.538409
8.4,8,50.557164
8.4,8,50.578959
8.4,8,50.598415
8.4,8,50.616346
8.4,8,50.63321
8.4,8,50.654123
8.3,9,50.672267
6.6,26,50.73717
9.3,8,50.758001
4.9,52,50.888142
7.6,25,50.962762
8.1,20,51.012464
9.3,8,51.032261
9.2,9,51.053184
9.3,8,51.070647
9.2,9,51.088151
9.3,8,51.105085
8.4,8,51.126155
8.4,8,51.143065
9.3,8,51.161338
8.2,19,51.203892
9.3,8,51.224777
9.3,8,51.242727
9.3,8,51.259871
3.8,54,51.37009
8.2,10,51.399145
9.2,9,51.417199
8.0,21,51.482732
8.4,8,51.507036
8.4,8,51.535008
8.4,8,51.564132
9.3,8,51.588889
8.4,17,51.647681
9.2,9,51.68039
7.3,19,51.737118
8.2,10,51.764192
9.3,8,51.79425
9.3,8,51.825204
9.3,8,51.850914
9.3,8,51.875428
9.3,8,51.897342
9.3,8,51.928051
9.3,8,51.956292
9.3,8,51.980478
9.3,8,52.006227
9.1,10,52.04051
9.3,8,52.061683
9.3,8,52.083329
9.3,8,52.104734
9.3,8,52.129926
9.3,8,52.151957
9.3,8,52.179168
9.3,8,52.200617
8.4,8,52.227815
8.4,8,52.251962
9.3,8,52.274488
9.3,8,52.301502
9.3,8,52.32791
9.3,8,52.349921
9.3,8,52.373179
8.4,8,52.395419
5.9,33,52.493414
9.3,8,52.51593
9.2,9,52.538909
8.9,12,52.572364
3.1,70,52.794588
8.2,10,52.820225
9.3,8,52.850459
9.3,8,52.879421
9.1,10,52.9221
9.3,8,52.947052
6.9,32,53.054857
6.5,36,53.168102
8.0,21,53.239357
9.1,10,53.261888
9.3,8,53.28372
9.3,8,53.308933
8.4,8,53.335583
7.3,10,53.368353
9.3,8,53.397989
9.3,8,53.419709
8.2,10,53.45207
9.1,10,53.483069
9.3,8,53.505095
9.2,9,53.528284
4.8,35,53.633104
9.3,8,53.655452
9.3,8,53.678915
9.3,8,53.703468
9.2,9,53.730385
5.3,39,53.847504
9.2,9,53.872278
8.8,13,53.905087
9.3,8,53.930915
7.3,10,53.961892
8.4,8,53.982476
8.0,12,54.016758
5.9,42,54.143573
9.3,8,54.165575
8.2,10,54.196292
7.1,12,54.227346
9.3,8,54.255598
8.9,12,54.287421
4.7,45,54.414216
9.1,10,54.452782
9.3,8,54.484142
9.3,8,54.511427
9.3,8,54.536426
6.9,32,54.634704
9.3,8,54.662986
9.0,11,54.690677
9.3,8,54.714267
8.4,8,54.737984
8.4,8,54.767935
8.4,8,54.795928
7.5,26,54.890261
8.7,14,54.930126
8.4,8,54.957658
9.3,8,54.980759
9.3,8,55.007253
9.3,8,55.033449
6.4,37,55.167864
7.5,26,55.25316
9.2,9,55.280678
7.7,24,55.356835
6.0,32,55.457098
8.8,13,55.493287
9.3,8,55.510936
7.4,27,55.565909
9.3,8,55.587114
9.1,10,55.611627
9.3,8,55.628731
8.7,14,55.655038
7.2,29,55.732013
9.3,8,55.749189
9.3,8,55.767152
9.3,8,55.785174
8.2,19,55.82406
8.0,21,55.878186
7.3,19,55.918074
7.6,25,55.9816
7.8,23,56.030901
9.3,8,56.050384
8.4,8,56.067961
8.4,8,56.085484
8.4,8,56.108581
8.4,8,56.12722
9.3,8,56.146213
7.3,28,56.220529
6.2,30,56.295259
9.3,8,56.312418
8.6,15,56.347392
5.3,48,56.454144
9.3,8,56.477315
9.0,11,56.497391
9.3,8,56.515148
9.2,9,56.54017
9.2,9,56.560762
9.0,11,56.591154
8.2,19,56.630004
9.2,9,56.658996
7.3,19,56.704374
8.3,9,56.729459
8.5,16,56.768841
7.3,28,56.835892
8.4,8,56.859223
7.5,8,56.876499
8.2,10,56.897161
8.4,8,56.916138
8.4,8,56.938431
8.4,8,56.956683
8.4,8,56.974964
7.5,17,57.019321
7.3,10,57.051399
8.2,10,57.070823
8.4,8,57.088993
8.4,8,57.1071
7.7,15,57.149106
6.6,26,57.217932
7.5,8,57.240962
-10.2,176,57.659426
9.3,8,57.683693
9.3,8,57.705047
0.0,92,57.920117
9.3,8,57.93945
8.2,19,57.988019
9.3,8,58.006342
9.3,8,58.025264
4.3,49,58.145148
7.1,30,58.225174
6.3,29,58.309642
9.3,8,58.329179
9.1,10,58.356688
9.3,8,58.378916
9.3,8,58.397771
9.3,8,58.41512
9.3,8,58.432427
4.2,41,58.538385
7.5,17,58.57725
5.6,45,58.701513
7.5,17,58.743996
8.8,13,58.785701
2.9,63,58.9343
8.6,15,58.973511
9.3,8,58.992824
9.3,8,59.018278
9.3,8,59.040097
9.3,8,59.059197
9.3,8,59.077748
9.3,8,59.100522
9.3,8,59.121804
7.5,8,59.140606
7.5,8,59.161146
4.4,48,59.300845
9.3,8,59.319391
3.6,56,59.446986
9.1,10,59.465747
9.3,8,59.497425
8.7,14,59.531519
9.2,9,59.550269
8.4,8,59.567904
7.5,8,59.591159
9.3,8,59.60879
9.3,8,59.627713
9.3,8,59.646526
4.9,43,59.757738
8.6,15,59.788019
7.4,9,59.81445
7.5,8,59.832754
5.5,28,59.899112
9.3,8,59.918456
7.5,8,59.936251
9.0,11,59.955038
9.1,10,59.983855
8.5,16,60.02185
7.3,19,60.068168
6.8,24,60.122984
7.5,8,60.14607
7.5,8,60.163887
7.4,9,60.182134
9.3,8,60.199823
6.2,39,60.291338
9.3,8,60.312969
9.2,9,60.338235
9.3,8,60.356634
9.3,8,60.381368
9.3,8,60.398894
7.8,23,60.453156
8.4,8,60.470781
9.3,8,60.491806
9.3,8,60.509164
9.3,8,60.526348
8.9,12,60.552431
7.5,8,60.573236
9.3,8,60.591348
9.3,8,60.609068
9.3,8,60.627192
9.2,9,60.649132
9.3,8,60.667202
8.1,20,60.715378
6.7,16,60.749245
7.5,8,60.770897
7.5,8,60.790019
7.5,8,60.807044
9.1,10,60.825105
0.3,89,61.041383
9.3,8,61.059371
9.3,8,61.077777
9.3,8,61.096208
9.3,8,61.119285
9.2,9,61.136925
9.3,8,61.158104
9.3,8,61.180747
7.0,31,61.262144
7.5,8,61.281447
9.3,8,61.300088
7.5,8,61.320223
8.0,12,61.358313
9.3,8,61.379085
9.3,8,61.397675
9.3,8,61.415661
9.3,8,61.441458
9.3,8,61.460248
6.3,20,61.506834
3.4,40,61.596416
8.2,10,61.620412
9.3,8,61.639151
7.5,26,61.706142
9.3,8,61.724327
9.3,8,61.746298
9.3,8,61.763857
9.3,8,61.782476
9.3,8,61.800364
9.3,8,61.821937
9.3,8,61.83958
6.9,32,61.908631
7.0,31,61.977386
8.8,13,62.017789
9.3,8,62.036033
9.3,8,62.053911
3.7,37,62.135499
7.2,11,62.164522
7.6,25,62.217768
9.0,11,62.243363
7.6,16,62.277916
9.3,8,62.299945
8.6,15,62.32951
6.8,15,62.3657
5.8,25,62.43136
7.5,8,62.454837
7.6,25,62.520648
9.0,11,62.53948
8.2,10,62.566063
8.9,12,62.597442
9.3,8,62.615881
9.3,8,62.633243
9.1,10,62.65111
6.2,30,62.734626
8.4,8,62.753632
9.3,8,62.773088
9.2,9,62.793992
9.3,8,62.819693
7.5,26,62.884832
9.3,8,62.902826
9.3,8,62.920954
9.3,8,62.942616
9.3,8,62.963434
9.3,8,62.981982
8.4,8,62.999662
9.3,8,63.021363
9.3,8,63.043377
9.3,8,63.062356
7.3,28,63.128678
6.0,32,63.201986
8.4,8,63.220991
8.5,16,63.256822
9.2,9,63.274728
8.2,19,63.324187
5.1,32,63.406319
6.0,14,63.442238
9.3,8,63.460022
9.3,8,63.482428
9.3,8,63.499717
9.3,8,63.516868
6.6,35,63.595049
8.2,10,63.61829
9.3,8,63.640101
5.9,33,63.737944
9.3,8,63.76018
9.3,8,63.783292
9.3,8,63.805911
9.1,10,63.827499
6.2,21,63.877907
9.3,8,63.9015
9.1,10,63.928517
9.3,8,63.94739
9.3,8,63.965476
8.1,11,63.994415
9.1,10,64.013431
9.3,8,64.030862
9.3,8,64.05099
9.3,8,64.072452
8.3,18,64.115721
8.5,16,64.151781
8.4,17,64.188179
8.4,8,64.214063
8.4,17,64.253827
9.3,8,64.272385
9.3,8,64.293218
9.3,8,64.318731
6.3,38,64.409939
6.4,10,64.428862
7.5,8,64.457388
8.4,8,64.487228
7.5,26,64.555401
9.3,8,64.573994
9.3,8,64.596099
7.3,10,64.62135
7.5,8,64.640898
9.3,8,64.662008
7.5,26,64.737932
9.3,8,64.763096
8.4,8,64.781207
7.5,8,64.802137
7.5,8,64.823266
7.5,8,64.848845
7.5,8,64.870626
6.0,32,64.956285
9.3,8,64.974233
9.1,10,64.99649
9.3,8,65.014724
9.3,8,65.03246
9.3,8,65.053156
9.1,10,65.084274
9.3,8,65.102607
9.3,8,65.120975
9.3,8,65.141436
9.3,8,65.163972
9.3,8,65.184066
8.2,10,65.202925
8.4,8,65.220984
9.3,8,65.245293
8.2,10,65.271518
8.2,10,65.293547
5.0,42,65.391747
8.2,10,65.413949
8.2,10,65.45212
8.4,8,65.483288
7.7,24,65.572817
9.1,10,65.602084
9.3,8,65.626696
9.3,8,65.65245
9.3,8,65.675146
9.3,8,65.713756
9.3,8,65.742288
9.3,8,65.76776
9.0,11,65.805482
9.3,8,65.835653
5.4,47,65.982974
9.3,8,66.005699
9.1,10,66.028759
9.3,8,66.059814
7.1,30,66.149659
8.4,8,66.17175
8.4,8,66.194143
9.3,8,66.227899
9.3,8,66.25072
9.3,8,66.272738
9.1,10,66.299998
9.3,8,66.329907
9.3,8,66.352424
7.5,8,66.374484
8.4,8,66.398609
8.4,8,66.428356
8.4,8,66.457646
8.9,12,66.492044
7.1,30,66.590156
6.7,25,66.685812
8.4,8,66.714829
8.4,8,66.742122
9.3,8,66.770425
9.3,8,66.80637
5.7,35,66.925295
9.3,8,66.953261
9.3,8,66.980157
